AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,HOUSEHOLD_KEY
65+,A,100-124K,Homeowner,2 Adults Kids,3,1,30
35-44,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,31
35-44,A,175-199K,Homeowner,2 Adults No Kids,2,None/Unknown,32
25-34,B,50-74K,Probable Renter,Single Female,1,None/Unknown,33
45-54,U,75-99K,Probable Owner,Single Female,1,None/Unknown,34
65+,A,100-124K,Homeowner,2 Adults Kids,3,1,35
45-54,A,125-149K,Homeowner,2 Adults Kids,3,1,36
35-44,A,Under 15K,Homeowner,1 Adult Kids,3,1,37
65+,U,Under 15K,Homeowner,1 Adult Kids,3,2,38
35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,39
45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,40
19-24,U,50-74K,Unknown,2 Adults Kids,3,1,41
65+,U,50-74K,Unknown,Single Male,1,None/Unknown,42
35-44,B,15-24K,Homeowner,2 Adults Kids,5+,3+,43
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,44
45-54,A,75-99K,Homeowner,Unknown,3,1,45
45-54,A,150-174K,Homeowner,2 Adults Kids,5+,3+,46
25-34,B,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,47
19-24,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,48
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,49
45-54,U,50-74K,Homeowner,Single Male,1,None/Unknown,50
25-34,U,25-34K,Unknown,Single Female,1,None/Unknown,51
45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,52
35-44,A,50-74K,Unknown,Single Male,2,None/Unknown,53
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,54
65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,55
55-64,A,100-124K,Homeowner,2 Adults Kids,4,2,56
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,57
25-34,A,150-174K,Homeowner,2 Adults Kids,4,2,58
45-54,U,50-74K,Unknown,Single Female,1,None/Unknown,59
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,60
35-44,U,25-34K,Unknown,Single Female,1,None/Unknown,61
65+,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,62
55-64,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,63
25-34,U,50-74K,Unknown,Single Male,1,None/Unknown,64
45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+,65
65+,B,125-149K,Unknown,2 Adults No Kids,2,None/Unknown,66
45-54,A,Under 15K,Homeowner,2 Adults Kids,5+,3+,67
25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown,68
19-24,U,35-49K,Homeowner,2 Adults Kids,4,2,69
35-44,U,50-74K,Unknown,2 Adults Kids,3,1,70
35-44,A,25-34K,Homeowner,Single Female,2,None/Unknown,71
45-54,B,50-74K,Homeowner,2 Adults Kids,3,1,72
35-44,U,Under 15K,Unknown,2 Adults No Kids,2,None/Unknown,73
65+,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,74
35-44,B,35-49K,Renter,Single Male,1,None/Unknown,75
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,76
35-44,A,100-124K,Homeowner,2 Adults Kids,5+,3+,77
55-64,U,25-34K,Unknown,Single Male,1,None/Unknown,78
55-64,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,79
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,80
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,81
45-54,U,50-74K,Homeowner,2 Adults Kids,3,1,82
55-64,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,83
45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,84
25-34,U,35-49K,Unknown,Single Male,1,None/Unknown,85
65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,86
55-64,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,87
35-44,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,88
25-34,A,Under 15K,Homeowner,Single Male,2,None/Unknown,89
35-44,A,15-24K,Homeowner,2 Adults Kids,5+,3+,90
25-34,B,50-74K,Probable Renter,Single Female,1,None/Unknown,91
55-64,A,35-49K,Homeowner,Single Male,2,None/Unknown,92
45-54,B,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,93
19-24,U,35-49K,Unknown,Single Female,1,None/Unknown,94
19-24,U,Under 15K,Unknown,Unknown,1,None/Unknown,95
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,96
45-54,U,75-99K,Unknown,Single Female,1,None/Unknown,97
35-44,U,35-49K,Unknown,1 Adult Kids,2,1,98
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,99
65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,100
45-54,A,Under 15K,Homeowner,2 Adults Kids,4,2,101
65+,B,25-34K,Unknown,Single Female,1,None/Unknown,102
55-64,B,35-49K,Homeowner,Single Female,1,None/Unknown,103
35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+,104
25-34,B,Under 15K,Homeowner,1 Adult Kids,3,2,105
65+,B,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,106
45-54,A,25-34K,Homeowner,Single Female,2,None/Unknown,107
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,108
25-34,A,15-24K,Homeowner,Single Female,2,None/Unknown,109
25-34,U,35-49K,Homeowner,Single Female,1,None/Unknown,110
35-44,A,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,111
45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,112
35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,113
25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,114
45-54,U,75-99K,Unknown,Single Female,1,None/Unknown,115
65+,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,116
65+,B,35-49K,Probable Owner,2 Adults No Kids,2,None/Unknown,117
45-54,B,35-49K,Homeowner,Single Female,1,None/Unknown,118
45-54,U,125-149K,Unknown,Single Male,1,None/Unknown,119
25-34,A,25-34K,Homeowner,1 Adult Kids,5+,3+,120
45-54,U,25-34K,Unknown,2 Adults Kids,3,1,121
55-64,B,35-49K,Homeowner,Single Female,1,None/Unknown,122
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,123
25-34,A,50-74K,Homeowner,2 Adults Kids,3,1,124
35-44,B,35-49K,Renter,2 Adults No Kids,2,None/Unknown,125
45-54,A,200-249K,Homeowner,2 Adults No Kids,2,None/Unknown,126
45-54,U,25-34K,Unknown,Single Female,1,None/Unknown,127
35-44,U,50-74K,Unknown,Unknown,1,None/Unknown,128
35-44,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,129
45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,130
45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,131
35-44,B,150-174K,Homeowner,Single Female,1,None/Unknown,132
45-54,A,Under 15K,Homeowner,Single Male,2,None/Unknown,133
55-64,A,25-34K,Homeowner,Single Female,2,None/Unknown,134
25-34,U,15-24K,Unknown,1 Adult Kids,2,1,135
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,136
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,137
45-54,U,125-149K,Unknown,Unknown,1,None/Unknown,138
35-44,B,75-99K,Homeowner,Single Male,1,None/Unknown,139
55-64,B,35-49K,Homeowner,Single Male,1,None/Unknown,140
45-54,U,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,141
35-44,U,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,142
25-34,U,35-49K,Unknown,1 Adult Kids,3,2,143
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,144
45-54,U,50-74K,Unknown,1 Adult Kids,2,1,145
19-24,U,25-34K,Unknown,Single Male,1,None/Unknown,146
45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,147
45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,148
45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,149
65+,U,50-74K,Homeowner,Single Male,1,None/Unknown,150
25-34,A,50-74K,Unknown,Single Female,2,None/Unknown,151
45-54,B,25-34K,Renter,Single Female,1,None/Unknown,152
19-24,B,35-49K,Renter,Single Female,1,None/Unknown,153
45-54,A,125-149K,Homeowner,Unknown,3,1,154
35-44,B,50-74K,Homeowner,2 Adults Kids,3,1,155
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,156
19-24,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,157
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,158
45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,159
25-34,B,50-74K,Unknown,Single Male,1,None/Unknown,160
19-24,A,75-99K,Unknown,2 Adults Kids,3,1,161
19-24,A,75-99K,Unknown,2 Adults Kids,3,1,162
55-64,B,35-49K,Homeowner,Single Female,1,None/Unknown,163
45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,164
55-64,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,165
25-34,A,50-74K,Homeowner,2 Adults Kids,3,1,166
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,167
35-44,A,75-99K,Homeowner,Single Female,2,None/Unknown,168
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,169
25-34,A,100-124K,Homeowner,2 Adults Kids,4,2,170
35-44,B,35-49K,Homeowner,1 Adult Kids,2,1,171
45-54,U,35-49K,Probable Renter,Unknown,1,None/Unknown,172
45-54,A,75-99K,Homeowner,2 Adults Kids,4,2,173
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,174
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,175
45-54,U,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,176
45-54,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,177
25-34,A,25-34K,Homeowner,1 Adult Kids,5+,3+,178
35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,179
65+,A,100-124K,Homeowner,Single Female,2,None/Unknown,180
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,181
25-34,U,Under 15K,Unknown,2 Adults Kids,5+,3+,182
45-54,A,75-99K,Homeowner,2 Adults Kids,4,2,183
45-54,U,25-34K,Unknown,Single Male,1,None/Unknown,184
25-34,A,15-24K,Renter,2 Adults Kids,4,2,185
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,186
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,187
55-64,A,50-74K,Homeowner,Single Female,2,None/Unknown,188
55-64,A,35-49K,Homeowner,2 Adults Kids,5+,3+,189
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,190
45-54,U,175-199K,Unknown,Single Female,1,None/Unknown,191
45-54,A,35-49K,Homeowner,Single Male,2,None/Unknown,192
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,193
35-44,U,35-49K,Homeowner,Single Female,1,None/Unknown,194
45-54,A,15-24K,Unknown,2 Adults Kids,4,2,195
45-54,U,75-99K,Homeowner,Single Male,1,None/Unknown,196
45-54,U,100-124K,Unknown,Unknown,1,None/Unknown,197
35-44,A,Under 15K,Homeowner,2 Adults Kids,3,1,198
25-34,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,199
45-54,A,200-249K,Homeowner,2 Adults No Kids,2,None/Unknown,200
45-54,A,15-24K,Homeowner,2 Adults Kids,5+,3+,201
45-54,U,50-74K,Unknown,Single Female,1,None/Unknown,202
55-64,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,203
45-54,A,75-99K,Homeowner,Unknown,3,1,204
35-44,A,100-124K,Homeowner,2 Adults Kids,4,2,205
25-34,U,25-34K,Unknown,2 Adults Kids,3,1,206
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,207
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,208
45-54,U,25-34K,Homeowner,2 Adults Kids,3,1,209
45-54,U,50-74K,Homeowner,Single Male,1,None/Unknown,210
65+,A,35-49K,Homeowner,Single Female,2,None/Unknown,211
35-44,U,Under 15K,Unknown,Single Female,1,None/Unknown,212
25-34,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,213
55-64,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,214
55-64,A,100-124K,Homeowner,2 Adults Kids,4,2,215
35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,216
55-64,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,217
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,218
55-64,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,219
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,220
65+,U,15-24K,Unknown,Unknown,1,None/Unknown,221
35-44,A,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,222
35-44,A,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,223
35-44,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,224
45-54,U,50-74K,Unknown,1 Adult Kids,2,1,225
35-44,A,150-174K,Homeowner,Single Male,2,None/Unknown,226
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,227
19-24,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,228
55-64,A,35-49K,Unknown,2 Adults Kids,3,1,229
25-34,U,25-34K,Unknown,Single Female,1,None/Unknown,230
35-44,A,50-74K,Renter,2 Adults Kids,4,2,231
35-44,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,232
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,233
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,234
35-44,A,250K+,Homeowner,2 Adults Kids,5+,3+,235
65+,U,35-49K,Homeowner,Single Female,1,None/Unknown,236
45-54,U,25-34K,Unknown,Single Female,1,None/Unknown,237
25-34,U,25-34K,Unknown,1 Adult Kids,3,2,238
45-54,U,50-74K,Renter,Unknown,1,None/Unknown,239
55-64,U,50-74K,Homeowner,Unknown,1,None/Unknown,240
55-64,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,241
45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,242
65+,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,243
65+,U,Under 15K,Homeowner,Single Female,1,None/Unknown,244
25-34,A,25-34K,Unknown,Unknown,2,None/Unknown,245
65+,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,246
25-34,A,35-49K,Renter,2 Adults Kids,5+,3+,247
35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,248
35-44,A,Under 15K,Renter,Unknown,3,1,249
45-54,A,75-99K,Homeowner,1 Adult Kids,4,2,250
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,251
45-54,U,50-74K,Homeowner,Single Female,1,None/Unknown,252
45-54,U,Under 15K,Unknown,Single Female,1,None/Unknown,253
25-34,B,Under 15K,Homeowner,1 Adult Kids,3,2,254
25-34,U,25-34K,Unknown,2 Adults Kids,3,1,255
25-34,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,256
25-34,U,25-34K,Unknown,1 Adult Kids,3,2,257
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,258
35-44,U,35-49K,Unknown,Single Female,1,None/Unknown,259
35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,260
25-34,U,75-99K,Unknown,2 Adults Kids,3,1,261
25-34,U,Under 15K,Unknown,2 Adults Kids,5+,3+,262
45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,263
45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,264
25-34,U,75-99K,Unknown,Single Female,1,None/Unknown,265
45-54,U,15-24K,Unknown,2 Adults Kids,3,1,266
45-54,U,100-124K,Unknown,Single Female,1,None/Unknown,267
35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,268
45-54,U,50-74K,Unknown,Single Female,1,None/Unknown,269
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,270
25-34,U,100-124K,Unknown,Single Female,1,None/Unknown,271
55-64,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,272
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,273
35-44,B,35-49K,Renter,1 Adult Kids,2,1,274
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,275
35-44,U,35-49K,Unknown,Single Male,1,None/Unknown,276
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,277
25-34,U,35-49K,Unknown,1 Adult Kids,2,1,278
65+,B,25-34K,Unknown,Single Female,1,None/Unknown,279
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,280
35-44,B,50-74K,Homeowner,Single Female,1,None/Unknown,281
45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,282
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,283
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,284
45-54,U,35-49K,Renter,Unknown,1,None/Unknown,285
25-34,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,286
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,287
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,288
45-54,B,100-124K,Homeowner,Single Male,1,None/Unknown,289
25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,290
55-64,A,Under 15K,Homeowner,Single Female,2,None/Unknown,291
55-64,U,25-34K,Unknown,Single Male,1,None/Unknown,292
35-44,B,50-74K,Homeowner,Single Female,1,None/Unknown,293
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,294
25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,295
65+,A,25-34K,Homeowner,Single Female,2,None/Unknown,296
19-24,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,297
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,298
45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,299
55-64,A,Under 15K,Unknown,Single Female,2,None/Unknown,300
35-44,A,35-49K,Homeowner,2 Adults Kids,4,2,301
45-54,U,35-49K,Homeowner,2 Adults Kids,3,1,302
45-54,B,50-74K,Homeowner,2 Adults Kids,3,1,303
25-34,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,304
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,305
19-24,U,35-49K,Homeowner,2 Adults Kids,4,2,306
55-64,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,307
45-54,U,35-49K,Renter,Unknown,1,None/Unknown,308
25-34,A,75-99K,Homeowner,Single Male,2,None/Unknown,309
65+,A,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,310
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,311
45-54,B,50-74K,Homeowner,1 Adult Kids,3,2,312
35-44,U,25-34K,Unknown,Single Male,1,None/Unknown,313
45-54,U,75-99K,Homeowner,2 Adults Kids,3,1,314
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,315
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,316
45-54,A,75-99K,Homeowner,Single Male,2,None/Unknown,317
45-54,A,175-199K,Homeowner,Single Female,2,None/Unknown,318
45-54,U,35-49K,Homeowner,1 Adult Kids,4,3+,319
35-44,A,50-74K,Homeowner,2 Adults Kids,3,1,320
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,321
65+,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,322
35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,323
45-54,U,50-74K,Unknown,Single Female,1,None/Unknown,324
35-44,A,75-99K,Homeowner,2 Adults Kids,4,2,325
45-54,U,25-34K,Unknown,2 Adults Kids,3,1,326
25-34,U,25-34K,Unknown,Single Female,1,None/Unknown,327
55-64,U,50-74K,Homeowner,Unknown,1,None/Unknown,328
25-34,U,75-99K,Unknown,Single Female,1,None/Unknown,329
65+,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,330
45-54,A,35-49K,Homeowner,2 Adults Kids,4,2,331
35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,332
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,333
45-54,A,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,334
25-34,U,50-74K,Unknown,Single Male,1,None/Unknown,335
65+,U,Under 15K,Homeowner,Single Female,1,None/Unknown,336
65+,U,35-49K,Homeowner,Single Female,1,None/Unknown,337
55-64,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,338
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,339
45-54,A,35-49K,Homeowner,2 Adults Kids,4,2,340
35-44,U,50-74K,Unknown,Single Male,1,None/Unknown,341
45-54,B,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,342
65+,U,Under 15K,Renter,Single Male,1,None/Unknown,343
45-54,U,50-74K,Unknown,Single Male,1,None/Unknown,344
65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,345
65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,346
25-34,U,75-99K,Homeowner,2 Adults Kids,4,2,347
35-44,U,15-24K,Renter,2 Adults Kids,4,2,348
35-44,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,349
45-54,A,50-74K,Homeowner,1 Adult Kids,4,2,350
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,351
19-24,A,35-49K,Renter,2 Adults Kids,3,1,352
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,353
25-34,A,35-49K,Homeowner,2 Adults Kids,5+,3+,354
45-54,U,125-149K,Homeowner,Unknown,5+,3+,355
45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,356
45-54,U,Under 15K,Unknown,Single Male,1,None/Unknown,357
35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,358
19-24,B,Under 15K,Renter,1 Adult Kids,4,3+,359
55-64,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,360
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,361
65+,U,50-74K,Unknown,Single Male,1,None/Unknown,362
35-44,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,363
45-54,A,150-174K,Homeowner,2 Adults Kids,5+,3+,364
35-44,A,35-49K,Probable Owner,1 Adult Kids,3,1,365
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,366
55-64,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,367
35-44,A,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,368
35-44,A,175-199K,Homeowner,2 Adults Kids,5+,3+,369
65+,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,370
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,371
25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown,372
55-64,B,35-49K,Homeowner,Single Female,1,None/Unknown,373
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,374
45-54,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,375
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,376
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,377
55-64,A,50-74K,Homeowner,Single Female,2,None/Unknown,378
25-34,U,150-174K,Homeowner,2 Adults Kids,3,1,379
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,380
25-34,B,35-49K,Homeowner,1 Adult Kids,2,1,381
45-54,A,125-149K,Homeowner,2 Adults Kids,5+,3+,382
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,383
45-54,U,50-74K,Homeowner,2 Adults Kids,3,1,384
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,385
35-44,B,25-34K,Probable Owner,Single Female,1,None/Unknown,386
25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown,387
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,388
35-44,U,150-174K,Probable Owner,Single Female,1,None/Unknown,389
45-54,B,25-34K,Renter,Single Female,1,None/Unknown,390
65+,B,25-34K,Unknown,Single Female,1,None/Unknown,391
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,392
55-64,A,35-49K,Homeowner,2 Adults Kids,5+,3+,393
45-54,A,125-149K,Homeowner,Unknown,3,1,394
35-44,U,25-34K,Unknown,Single Male,1,None/Unknown,395
45-54,U,35-49K,Homeowner,2 Adults Kids,3,1,396
25-34,U,35-49K,Unknown,1 Adult Kids,2,1,397
35-44,U,Under 15K,Unknown,Unknown,1,None/Unknown,398
19-24,B,Under 15K,Renter,1 Adult Kids,2,1,399
35-44,A,150-174K,Homeowner,2 Adults Kids,3,1,400
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,401
55-64,A,100-124K,Homeowner,2 Adults Kids,3,1,402
19-24,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,403
25-34,A,25-34K,Unknown,Unknown,2,None/Unknown,404
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,405
